,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,51,FP1,0,3.642,a,S2 match,0,co2a0000372,0.0
6,51,FP1,1,0.712,a,S2 match,0,co2a0000372,0.00390625
7,51,FP1,2,-0.264,a,S2 match,0,co2a0000372,0.0078125
8,51,FP1,3,-0.264,a,S2 match,0,co2a0000372,0.01171875
9,51,FP1,4,0.224,a,S2 match,0,co2a0000372,0.015625
10,51,FP1,5,0.224,a,S2 match,0,co2a0000372,0.01953125
11,51,FP1,6,-0.264,a,S2 match,0,co2a0000372,0.0234375
12,51,FP1,7,0.224,a,S2 match,0,co2a0000372,0.02734375
13,51,FP1,8,0.224,a,S2 match,0,co2a0000372,0.03125
14,51,FP1,9,0.712,a,S2 match,0,co2a0000372,0.03515625
15,51,FP1,10,0.224,a,S2 match,0,co2a0000372,0.0390625
16,51,FP1,11,-0.264,a,S2 match,0,co2a0000372,0.04296875
17,51,FP1,12,-0.753,a,S2 match,0,co2a0000372,0.046875
18,51,FP1,13,-0.753,a,S2 match,0,co2a0000372,0.05078125
19,51,FP1,14,-0.264,a,S2 match,0,co2a0000372,0.0546875
20,51,FP1,15,-0.264,a,S2 match,0,co2a0000372,0.05859375
21,51,FP1,16,-1.241,a,S2 match,0,co2a0000372,0.0625
22,51,FP1,17,-2.218,a,S2 match,0,co2a0000372,0.06640625
23,51,FP1,18,-1.729,a,S2 match,0,co2a0000372,0.0703125
24,51,FP1,19,0.712,a,S2 match,0,co2a0000372,0.07421875
25,51,FP1,20,4.13,a,S2 match,0,co2a0000372,0.078125
26,51,FP1,21,7.06,a,S2 match,0,co2a0000372,0.08203125
27,51,FP1,22,8.525,a,S2 match,0,co2a0000372,0.0859375
28,51,FP1,23,7.548,a,S2 match,0,co2a0000372,0.08984375
29,51,FP1,24,6.083,a,S2 match,0,co2a0000372,0.09375
30,51,FP1,25,5.107,a,S2 match,0,co2a0000372,0.09765625
31,51,FP1,26,5.595,a,S2 match,0,co2a0000372,0.1015625
32,51,FP1,27,5.595,a,S2 match,0,co2a0000372,0.10546875
33,51,FP1,28,4.618,a,S2 match,0,co2a0000372,0.109375
34,51,FP1,29,3.153,a,S2 match,0,co2a0000372,0.11328125
35,51,FP1,30,0.712,a,S2 match,0,co2a0000372,0.1171875
36,51,FP1,31,-1.241,a,S2 match,0,co2a0000372,0.12109375
37,51,FP1,32,-3.194,a,S2 match,0,co2a0000372,0.125
38,51,FP1,33,-5.147,a,S2 match,0,co2a0000372,0.12890625
39,51,FP1,34,-7.1,a,S2 match,0,co2a0000372,0.1328125
40,51,FP1,35,-8.565,a,S2 match,0,co2a0000372,0.13671875
41,51,FP1,36,-8.565,a,S2 match,0,co2a0000372,0.140625
42,51,FP1,37,-8.077,a,S2 match,0,co2a0000372,0.14453125
43,51,FP1,38,-6.612,a,S2 match,0,co2a0000372,0.1484375
44,51,FP1,39,-6.124,a,S2 match,0,co2a0000372,0.15234375
45,51,FP1,40,-5.636,a,S2 match,0,co2a0000372,0.15625
46,51,FP1,41,-4.171,a,S2 match,0,co2a0000372,0.16015625
47,51,FP1,42,-2.218,a,S2 match,0,co2a0000372,0.1640625
48,51,FP1,43,-0.264,a,S2 match,0,co2a0000372,0.16796875
49,51,FP1,44,1.2,a,S2 match,0,co2a0000372,0.171875
50,51,FP1,45,0.712,a,S2 match,0,co2a0000372,0.17578125
51,51,FP1,46,-0.264,a,S2 match,0,co2a0000372,0.1796875
52,51,FP1,47,-0.264,a,S2 match,0,co2a0000372,0.18359375
53,51,FP1,48,0.712,a,S2 match,0,co2a0000372,0.1875
54,51,FP1,49,2.665,a,S2 match,0,co2a0000372,0.19140625
55,51,FP1,50,5.107,a,S2 match,0,co2a0000372,0.1953125
56,51,FP1,51,6.571,a,S2 match,0,co2a0000372,0.19921875
57,51,FP1,52,8.036,a,S2 match,0,co2a0000372,0.203125
58,51,FP1,53,10.966,a,S2 match,0,co2a0000372,0.20703125
59,51,FP1,54,13.896,a,S2 match,0,co2a0000372,0.2109375
60,51,FP1,55,16.337,a,S2 match,0,co2a0000372,0.21484375
61,51,FP1,56,16.337,a,S2 match,0,co2a0000372,0.21875
62,51,FP1,57,13.407,a,S2 match,0,co2a0000372,0.22265625
63,51,FP1,58,8.525,a,S2 match,0,co2a0000372,0.2265625
64,51,FP1,59,3.642,a,S2 match,0,co2a0000372,0.23046875
65,51,FP1,60,1.2,a,S2 match,0,co2a0000372,0.234375
66,51,FP1,61,0.224,a,S2 match,0,co2a0000372,0.23828125
67,51,FP1,62,0.224,a,S2 match,0,co2a0000372,0.2421875
68,51,FP1,63,-0.264,a,S2 match,0,co2a0000372,0.24609375
69,51,FP1,64,-0.264,a,S2 match,0,co2a0000372,0.25
70,51,FP1,65,-0.264,a,S2 match,0,co2a0000372,0.25390625
71,51,FP1,66,0.224,a,S2 match,0,co2a0000372,0.2578125
72,51,FP1,67,0.712,a,S2 match,0,co2a0000372,0.26171875
73,51,FP1,68,0.712,a,S2 match,0,co2a0000372,0.265625
74,51,FP1,69,-0.753,a,S2 match,0,co2a0000372,0.26953125
75,51,FP1,70,-2.218,a,S2 match,0,co2a0000372,0.2734375
76,51,FP1,71,-3.194,a,S2 match,0,co2a0000372,0.27734375
77,51,FP1,72,-2.706,a,S2 match,0,co2a0000372,0.28125
78,51,FP1,73,-1.241,a,S2 match,0,co2a0000372,0.28515625
79,51,FP1,74,0.224,a,S2 match,0,co2a0000372,0.2890625
80,51,FP1,75,0.712,a,S2 match,0,co2a0000372,0.29296875
81,51,FP1,76,-0.264,a,S2 match,0,co2a0000372,0.296875
82,51,FP1,77,-2.218,a,S2 match,0,co2a0000372,0.30078125
83,51,FP1,78,-3.682,a,S2 match,0,co2a0000372,0.3046875
84,51,FP1,79,-3.682,a,S2 match,0,co2a0000372,0.30859375
85,51,FP1,80,-1.729,a,S2 match,0,co2a0000372,0.3125
86,51,FP1,81,2.177,a,S2 match,0,co2a0000372,0.31640625
87,51,FP1,82,4.618,a,S2 match,0,co2a0000372,0.3203125
88,51,FP1,83,5.107,a,S2 match,0,co2a0000372,0.32421875
89,51,FP1,84,3.153,a,S2 match,0,co2a0000372,0.328125
90,51,FP1,85,-0.753,a,S2 match,0,co2a0000372,0.33203125
91,51,FP1,86,-4.659,a,S2 match,0,co2a0000372,0.3359375
92,51,FP1,87,-7.589,a,S2 match,0,co2a0000372,0.33984375
93,51,FP1,88,-8.565,a,S2 match,0,co2a0000372,0.34375
94,51,FP1,89,-8.565,a,S2 match,0,co2a0000372,0.34765625
95,51,FP1,90,-9.542,a,S2 match,0,co2a0000372,0.3515625
96,51,FP1,91,-11.007,a,S2 match,0,co2a0000372,0.35546875
97,51,FP1,92,-13.448,a,S2 match,0,co2a0000372,0.359375
98,51,FP1,93,-15.889,a,S2 match,0,co2a0000372,0.36328125
99,51,FP1,94,-18.331,a,S2 match,0,co2a0000372,0.3671875
100,51,FP1,95,-20.284,a,S2 match,0,co2a0000372,0.37109375
101,51,FP1,96,-20.772,a,S2 match,0,co2a0000372,0.375
102,51,FP1,97,-20.284,a,S2 match,0,co2a0000372,0.37890625
103,51,FP1,98,-18.331,a,S2 match,0,co2a0000372,0.3828125
104,51,FP1,99,-15.889,a,S2 match,0,co2a0000372,0.38671875
105,51,FP1,100,-12.96,a,S2 match,0,co2a0000372,0.390625
106,51,FP1,101,-11.495,a,S2 match,0,co2a0000372,0.39453125
107,51,FP1,102,-11.983,a,S2 match,0,co2a0000372,0.3984375
108,51,FP1,103,-14.425,a,S2 match,0,co2a0000372,0.40234375
109,51,FP1,104,-16.866,a,S2 match,0,co2a0000372,0.40625
110,51,FP1,105,-16.866,a,S2 match,0,co2a0000372,0.41015625
111,51,FP1,106,-15.401,a,S2 match,0,co2a0000372,0.4140625
112,51,FP1,107,-13.448,a,S2 match,0,co2a0000372,0.41796875
113,51,FP1,108,-12.96,a,S2 match,0,co2a0000372,0.421875
114,51,FP1,109,-14.913,a,S2 match,0,co2a0000372,0.42578125
115,51,FP1,110,-17.843,a,S2 match,0,co2a0000372,0.4296875
116,51,FP1,111,-19.796,a,S2 match,0,co2a0000372,0.43359375
117,51,FP1,112,-18.819,a,S2 match,0,co2a0000372,0.4375
118,51,FP1,113,-15.401,a,S2 match,0,co2a0000372,0.44140625
119,51,FP1,114,-11.007,a,S2 match,0,co2a0000372,0.4453125
120,51,FP1,115,-9.054,a,S2 match,0,co2a0000372,0.44921875
121,51,FP1,116,-10.518,a,S2 match,0,co2a0000372,0.453125
122,51,FP1,117,-12.96,a,S2 match,0,co2a0000372,0.45703125
123,51,FP1,118,-15.401,a,S2 match,0,co2a0000372,0.4609375
124,51,FP1,119,-15.401,a,S2 match,0,co2a0000372,0.46484375
125,51,FP1,120,-12.96,a,S2 match,0,co2a0000372,0.46875
126,51,FP1,121,-10.03,a,S2 match,0,co2a0000372,0.47265625
127,51,FP1,122,-7.589,a,S2 match,0,co2a0000372,0.4765625
128,51,FP1,123,-6.124,a,S2 match,0,co2a0000372,0.48046875
129,51,FP1,124,-5.147,a,S2 match,0,co2a0000372,0.484375
130,51,FP1,125,-4.171,a,S2 match,0,co2a0000372,0.48828125
131,51,FP1,126,-2.706,a,S2 match,0,co2a0000372,0.4921875
132,51,FP1,127,-2.706,a,S2 match,0,co2a0000372,0.49609375
133,51,FP1,128,-3.682,a,S2 match,0,co2a0000372,0.5
134,51,FP1,129,-4.171,a,S2 match,0,co2a0000372,0.50390625
135,51,FP1,130,-2.706,a,S2 match,0,co2a0000372,0.5078125
136,51,FP1,131,0.712,a,S2 match,0,co2a0000372,0.51171875
137,51,FP1,132,5.595,a,S2 match,0,co2a0000372,0.515625
138,51,FP1,133,8.525,a,S2 match,0,co2a0000372,0.51953125
