,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,85,FP1,0,3.591,c,S2 match,0,co2c0000337,0.0
6,85,FP1,1,2.126,c,S2 match,0,co2c0000337,0.00390625
7,85,FP1,2,1.638,c,S2 match,0,co2c0000337,0.0078125
8,85,FP1,3,2.614,c,S2 match,0,co2c0000337,0.01171875
9,85,FP1,4,4.079,c,S2 match,0,co2c0000337,0.015625
10,85,FP1,5,5.544,c,S2 match,0,co2c0000337,0.01953125
11,85,FP1,6,5.544,c,S2 match,0,co2c0000337,0.0234375
12,85,FP1,7,5.544,c,S2 match,0,co2c0000337,0.02734375
13,85,FP1,8,5.056,c,S2 match,0,co2c0000337,0.03125
14,85,FP1,9,5.056,c,S2 match,0,co2c0000337,0.03515625
15,85,FP1,10,5.544,c,S2 match,0,co2c0000337,0.0390625
16,85,FP1,11,5.056,c,S2 match,0,co2c0000337,0.04296875
17,85,FP1,12,4.567,c,S2 match,0,co2c0000337,0.046875
18,85,FP1,13,3.591,c,S2 match,0,co2c0000337,0.05078125
19,85,FP1,14,3.103,c,S2 match,0,co2c0000337,0.0546875
20,85,FP1,15,2.126,c,S2 match,0,co2c0000337,0.05859375
21,85,FP1,16,0.661,c,S2 match,0,co2c0000337,0.0625
22,85,FP1,17,-0.804,c,S2 match,0,co2c0000337,0.06640625
23,85,FP1,18,-1.292,c,S2 match,0,co2c0000337,0.0703125
24,85,FP1,19,0.173,c,S2 match,0,co2c0000337,0.07421875
25,85,FP1,20,2.614,c,S2 match,0,co2c0000337,0.078125
26,85,FP1,21,4.079,c,S2 match,0,co2c0000337,0.08203125
27,85,FP1,22,3.591,c,S2 match,0,co2c0000337,0.0859375
28,85,FP1,23,2.126,c,S2 match,0,co2c0000337,0.08984375
29,85,FP1,24,1.149,c,S2 match,0,co2c0000337,0.09375
30,85,FP1,25,1.638,c,S2 match,0,co2c0000337,0.09765625
31,85,FP1,26,2.614,c,S2 match,0,co2c0000337,0.1015625
32,85,FP1,27,3.103,c,S2 match,0,co2c0000337,0.10546875
33,85,FP1,28,2.614,c,S2 match,0,co2c0000337,0.109375
34,85,FP1,29,1.638,c,S2 match,0,co2c0000337,0.11328125
35,85,FP1,30,2.614,c,S2 match,0,co2c0000337,0.1171875
36,85,FP1,31,5.056,c,S2 match,0,co2c0000337,0.12109375
37,85,FP1,32,8.962,c,S2 match,0,co2c0000337,0.125
38,85,FP1,33,10.915,c,S2 match,0,co2c0000337,0.12890625
39,85,FP1,34,9.939,c,S2 match,0,co2c0000337,0.1328125
40,85,FP1,35,6.521,c,S2 match,0,co2c0000337,0.13671875
41,85,FP1,36,3.103,c,S2 match,0,co2c0000337,0.140625
42,85,FP1,37,1.149,c,S2 match,0,co2c0000337,0.14453125
43,85,FP1,38,2.126,c,S2 match,0,co2c0000337,0.1484375
44,85,FP1,39,4.079,c,S2 match,0,co2c0000337,0.15234375
45,85,FP1,40,5.056,c,S2 match,0,co2c0000337,0.15625
46,85,FP1,41,4.567,c,S2 match,0,co2c0000337,0.16015625
47,85,FP1,42,2.614,c,S2 match,0,co2c0000337,0.1640625
48,85,FP1,43,1.149,c,S2 match,0,co2c0000337,0.16796875
49,85,FP1,44,0.661,c,S2 match,0,co2c0000337,0.171875
50,85,FP1,45,1.638,c,S2 match,0,co2c0000337,0.17578125
51,85,FP1,46,2.614,c,S2 match,0,co2c0000337,0.1796875
52,85,FP1,47,2.614,c,S2 match,0,co2c0000337,0.18359375
53,85,FP1,48,2.126,c,S2 match,0,co2c0000337,0.1875
54,85,FP1,49,1.149,c,S2 match,0,co2c0000337,0.19140625
55,85,FP1,50,0.173,c,S2 match,0,co2c0000337,0.1953125
56,85,FP1,51,-0.804,c,S2 match,0,co2c0000337,0.19921875
57,85,FP1,52,-2.268,c,S2 match,0,co2c0000337,0.203125
58,85,FP1,53,-4.222,c,S2 match,0,co2c0000337,0.20703125
59,85,FP1,54,-4.222,c,S2 match,0,co2c0000337,0.2109375
60,85,FP1,55,-3.245,c,S2 match,0,co2c0000337,0.21484375
61,85,FP1,56,-2.268,c,S2 match,0,co2c0000337,0.21875
62,85,FP1,57,-2.268,c,S2 match,0,co2c0000337,0.22265625
63,85,FP1,58,-4.71,c,S2 match,0,co2c0000337,0.2265625
64,85,FP1,59,-9.104,c,S2 match,0,co2c0000337,0.23046875
65,85,FP1,60,-13.987,c,S2 match,0,co2c0000337,0.234375
66,85,FP1,61,-16.917,c,S2 match,0,co2c0000337,0.23828125
67,85,FP1,62,-15.94,c,S2 match,0,co2c0000337,0.2421875
68,85,FP1,63,-13.011,c,S2 match,0,co2c0000337,0.24609375
69,85,FP1,64,-10.569,c,S2 match,0,co2c0000337,0.25
70,85,FP1,65,-10.081,c,S2 match,0,co2c0000337,0.25390625
71,85,FP1,66,-12.034,c,S2 match,0,co2c0000337,0.2578125
72,85,FP1,67,-14.476,c,S2 match,0,co2c0000337,0.26171875
73,85,FP1,68,-15.94,c,S2 match,0,co2c0000337,0.265625
74,85,FP1,69,-15.94,c,S2 match,0,co2c0000337,0.26953125
75,85,FP1,70,-14.964,c,S2 match,0,co2c0000337,0.2734375
76,85,FP1,71,-15.452,c,S2 match,0,co2c0000337,0.27734375
77,85,FP1,72,-16.429,c,S2 match,0,co2c0000337,0.28125
78,85,FP1,73,-16.917,c,S2 match,0,co2c0000337,0.28515625
79,85,FP1,74,-16.429,c,S2 match,0,co2c0000337,0.2890625
80,85,FP1,75,-16.429,c,S2 match,0,co2c0000337,0.29296875
81,85,FP1,76,-16.429,c,S2 match,0,co2c0000337,0.296875
82,85,FP1,77,-18.87,c,S2 match,0,co2c0000337,0.30078125
83,85,FP1,78,-21.8,c,S2 match,0,co2c0000337,0.3046875
84,85,FP1,79,-24.241,c,S2 match,0,co2c0000337,0.30859375
85,85,FP1,80,-24.729,c,S2 match,0,co2c0000337,0.3125
86,85,FP1,81,-22.776,c,S2 match,0,co2c0000337,0.31640625
87,85,FP1,82,-19.847,c,S2 match,0,co2c0000337,0.3203125
88,85,FP1,83,-16.429,c,S2 match,0,co2c0000337,0.32421875
89,85,FP1,84,-14.964,c,S2 match,0,co2c0000337,0.328125
90,85,FP1,85,-14.964,c,S2 match,0,co2c0000337,0.33203125
